# u, v, weight
0, 20, 0.052
1, 21, 0.009
1, 126, 0.0205
2, 22, 0.0075
3, 23, 0.0065
3, 126, 0.0355
4, 24, 0.006
4, 116, 0.0105
5, 25, 0.006
5, 39, 0.009
5, 98, 0.0065
6, 26, 0.006
6, 118, 0.0065
6, 150, 0.0065
7, 27, 0.007
8, 28, 0.0075
9, 29, 0.005
9, 143, 0.0145
9, 173, 0.0255
10, 30, 0.0065
11, 31, 0.0145
11, 48, 0.0185
11, 120, 0.015
12, 32, 0.0065
12, 88, 0.007
13, 33, 0.0055
13, 165, 0.018
13, 292, 0.0255
14, 34, 0.009
14, 85, 0.0105
14, 316, 0.0255
14, 333, 0.0255
15, 35, 0.01
15, 48, 0.0255
16, 36, 0.0055
17, 37, 0.007
17, 83, 0.009
18, 38, 0.008
19, 25, 0.009
19, 39, 0.006
19, 63, 0.009
20, 87, 0.0075
20, 168, 0.0015
21, 56, 0.0005
21, 76, 0.0005
21, 339, 0.0045
22, 43, 0.005
22, 126, 0.018
22, 159, 0.026
22, 178, 0.0065
23, 44, 0.0015
23, 92, 0.0045
23, 140, 0.0045
23, 194, 0.003
24, 45, 0.0015
24, 95, 0.001
24, 116, 0.0045
24, 166, 0.0045
25, 98, 0.0005
25, 105, 0.001
25, 116, 0.0045
25, 166, 0.0045
25, 176, 0.0045
25, 274, 0.0045
26, 40, 0.009
26, 114, 0.009
26, 117, 0.0045
26, 118, 0.0005
26, 150, 0.0005
26, 161, 0.0045
27, 46, 0.0005
27, 54, 0.0045
27, 122, 0.0045
27, 132, 0.0045
27, 334, 0.0045
28, 42, 0.0045
28, 82, 0.0045
28, 96, 0.0045
28, 103, 0.0045
28, 107, 0.0005
28, 162, 0.0005
28, 204, 0.0045
28, 332, 0.0045
29, 73, 0.0005
29, 77, 0.003
29, 110, 0.0045
29, 114, 0.009
29, 153, 0.0105
29, 154, 0.0105
29, 204, 0.009
30, 74, 0.001
30, 170, 0.006
30, 196, 0.009
31, 48, 0.004
31, 120, 0.0005
31, 197, 0.0045
31, 311, 0.0105
32, 42, 0.0045
32, 58, 0.003
32, 88, 0.0005
32, 199, 0.0145
33, 57, 0.0005
33, 106, 0.0065
33, 128, 0.0045
33, 146, 0.0065
33, 222, 0.0045
34, 49, 0.0005
34, 149, 0.0065
34, 230, 0.0065
34, 261, 0.0045
34, 269, 0.0065
35, 89, 0.001
35, 221, 0.0005
35, 336, 0.0045
36, 49, 0.009
36, 50, 0.002
36, 193, 0.0045
37, 57, 0.009
37, 83, 0.002
37, 228, 0.001
37, 296, 0.0045
38, 251, 0.0005
39, 53, 0.0045
39, 105, 0.002
39, 114, 0.001
39, 143, 0.0015
39, 144, 0.0145
39, 166, 0.0045
40, 63, 0.001
40, 65, 0.005
40, 70, 0.008
40, 82, 0.005
40, 84, 0.0045
40, 95, 0.007
40, 110, 0.0045
40, 114, 0.001
40, 155, 0.001
40, 166, 0.0025
40, 167, 0.0055
40, 174, 0.0045
40, 177, 0.001
40, 190, 0.005
40, 206, 0.0045
40, 236, 0.007
40, 274, 0.0015
40, 297, 0.005
40, 327, 0.0055
41, 63, 0.0045
41, 102, 0.0045
41, 119, 0.0045
41, 153, 0.005
41, 175, 0.0005
41, 233, 0.0045
41, 239, 0.0005
41, 271, 0.0045
41, 320, 0.0045
42, 58, 0.0015
42, 67, 0.0045
42, 88, 0.004
42, 93, 0.0005
42, 123, 0.0045
42, 165, 0.001
42, 270, 0.0045
42, 281, 0.0015
42, 290, 0.0045
42, 326, 0.0045
42, 328, 0.0045
43, 91, 0.001
43, 158, 0.0255
43, 179, 0.0065
44, 86, 0.0045
44, 218, 0.0045
44, 235, 0.0005
44, 296, 0.0045
44, 314, 0.007
45, 97, 0.001
45, 155, 0.0045
45, 164, 0.0045
45, 177, 0.0045
45, 181, 0.0045
45, 182, 0.0045
45, 236, 0.0045
45, 256, 0.0045
46, 71, 0.002
46, 210, 0.0045
46, 224, 0.0005
46, 226, 0.0045
46, 256, 0.0045
46, 257, 0.0045
47, 158, 0.0255
47, 170, 0.001
47, 196, 0.002
47, 219, 0.0045
47, 240, 0.0005
47, 259, 0.0045
47, 272, 0.0045
48, 55, 0.0045
48, 59, 0.0145
48, 66, 0.013
48, 120, 0.0045
48, 192, 0.0015
48, 197, 0.0005
48, 288, 0.0045
49, 68, 0.0045
49, 85, 0.001
50, 92, 0.0045
50, 140, 0.0045
50, 230, 0.001
50, 299, 0.0045
51, 78, 0.0005
51, 159, 0.01
51, 179, 0.0045
51, 223, 0.0045
52, 83, 0.0045
52, 92, 0.0005
52, 194, 0.001
52, 195, 0.001
52, 198, 0.006
52, 277, 0.01
52, 314, 0.0045
53, 81, 0.0005
53, 97, 0.001
53, 102, 0.0045
53, 105, 0.0045
53, 116, 0.001
53, 166, 0.001
53, 175, 0.0045
53, 214, 0.0045
53, 219, 0.0065
53, 226, 0.0045
53, 253, 0.0045
53, 259, 0.0065
53, 284, 0.0045
53, 285, 0.0045
54, 65, 0.0065
54, 95, 0.0045
54, 214, 0.0045
54, 236, 0.0005
54, 253, 0.0045
54, 256, 0.0005
54, 257, 0.0005
54, 265, 0.0045
54, 274, 0.004
54, 284, 0.0045
54, 286, 0.0045
55, 66, 0.0085
55, 112, 0.009
55, 125, 0.0045
55, 158, 0.018
55, 160, 0.0075
55, 169, 0.005
55, 171, 0.0005
55, 185, 0.013
55, 201, 0.005
55, 213, 0.001
55, 276, 0.0045
55, 279, 0.005
55, 292, 0.0045
55, 333, 0.0065
55, 335, 0.005
56, 80, 0.0005
56, 112, 0.0015
57, 117, 0.0045
57, 128, 0.004
57, 136, 0.002
58, 72, 0.0045
58, 82, 0.0045
58, 163, 0.0045
58, 185, 0.0045
58, 188, 0.0045
58, 190, 0.0045
58, 271, 0.0045
58, 281, 0.001
58, 332, 0.0045
59, 79, 0.001
59, 192, 0.013
59, 221, 0.0005
59, 258, 0.0045
60, 113, 0.0075
60, 193, 0.0005
60, 217, 0.0005
60, 228, 0.0045
60, 269, 0.003
60, 296, 0.001
61, 139, 0.009
61, 140, 0.001
61, 173, 0.0035
61, 215, 0.0045
61, 218, 0.0005
61, 267, 0.0005
61, 269, 0.0045
61, 296, 0.0005
62, 63, 0.007
62, 104, 0.004
62, 117, 0.0025
62, 145, 0.006
62, 148, 0.0065
62, 153, 0.0105
62, 154, 0.0105
62, 161, 0.0025
62, 183, 0.007
62, 186, 0.009
62, 187, 0.009
62, 189, 0.006
62, 202, 0.007
62, 205, 0.0065
62, 214, 0.006
62, 226, 0.009
62, 244, 0.0065
62, 248, 0.005
62, 254, 0.003
62, 262, 0.001
62, 264, 0.009
62, 265, 0.005
62, 270, 0.0055
62, 282, 0.0015
62, 314, 0.011
62, 317, 0.0055
62, 321, 0.0065
62, 323, 0.007
63, 65, 0.003
63, 71, 0.0045
63, 84, 0.0045
63, 105, 0.002
63, 109, 0.0045
63, 116, 0.0045
63, 153, 0.0015
63, 154, 0.0015
63, 166, 0.0045
63, 182, 0.003
63, 186, 0.007
63, 204, 0.002
63, 206, 0.0005
63, 207, 0.005
63, 208, 0.0025
63, 214, 0.002
63, 248, 0.003
63, 252, 0.0045
63, 270, 0.0045
63, 313, 0.008
63, 317, 0.0045
63, 326, 0.0045
63, 334, 0.0045
64, 65, 0.001
64, 84, 0.0005
64, 102, 0.005
64, 105, 0.005
64, 109, 0.0005
64, 148, 0.0045
64, 153, 0.0045
64, 204, 0.003
64, 206, 0.0045
64, 281, 0.0045
64, 290, 0.0045
64, 332, 0.002
65, 93, 0.0045
65, 99, 0.0045
65, 102, 0.007
65, 104, 0.007
65, 105, 0.007
65, 108, 0.0065
65, 145, 0.009
65, 153, 0.0065
65, 222, 0.011
65, 270, 0.0045
65, 287, 0.003
65, 290, 0.0045
65, 300, 0.0065
65, 307, 0.0065
65, 315, 0.0065
65, 326, 0.0025
65, 327, 0.0065
65, 329, 0.0065
65, 334, 0.0065
66, 75, 0.004
66, 87, 0.004
66, 90, 0.008
66, 112, 0.0085
66, 152, 0.0055
66, 160, 0.009
66, 194, 0.026
66, 197, 0.0125
66, 199, 0.0125
66, 213, 0.0135
66, 263, 0.01
66, 288, 0.0095
66, 294, 0.014
67, 88, 0.0005
67, 163, 0.0005
67, 165, 0.0045
67, 188, 0.0065
67, 222, 0.0145
67, 265, 0.0105
67, 281, 0.003
67, 292, 0.014
68, 104, 0.005
68, 129, 0.007
68, 139, 0.009
68, 141, 0.0015
68, 183, 0.003
68, 189, 0.001
68, 205, 0.0005
68, 210, 0.009
68, 254, 0.005
68, 264, 0.005
68, 283, 0.01
68, 292, 0.0135
68, 304, 0.009
68, 314, 0.007
68, 325, 0.009
68, 338, 0.009
69, 135, 0.0005
69, 181, 0.0005
69, 214, 0.0045
69, 219, 0.0065
69, 226, 0.0015
69, 247, 0.001
69, 253, 0.0045
69, 259, 0.0065
69, 268, 0.0065
69, 284, 0.0045
69, 285, 0.0045
70, 114, 0.009
70, 118, 0.0005
70, 149, 0.0045
70, 150, 0.0005
70, 262, 0.001
70, 282, 0.0005
71, 135, 0.0045
71, 175, 0.0045
71, 182, 0.0045
71, 233, 0.0045
71, 239, 0.0005
71, 271, 0.0045
71, 320, 0.0045
72, 109, 0.0005
72, 123, 0.0045
72, 156, 0.001
72, 162, 0.001
72, 180, 0.0025
72, 243, 0.0005
72, 298, 0.0015
72, 326, 0.0045
73, 82, 0.0045
73, 250, 0.003
73, 297, 0.0045
73, 324, 0.0005
74, 172, 0.0065
74, 227, 0.0005
75, 133, 0.013
75, 151, 0.01
75, 152, 0.0045
75, 246, 0.003
75, 293, 0.0085
75, 294, 0.014
75, 333, 0.011
75, 335, 0.0125
76, 80, 0.0005
77, 93, 0.0045
77, 99, 0.0045
77, 148, 0.0045
77, 157, 0.0045
77, 176, 0.0055
77, 225, 0.0045
77, 232, 0.0045
77, 249, 0.0045
77, 250, 0.0005
78, 121, 0.011
78, 169, 0.001
79, 93, 0.0045
79, 112, 0.018
79, 134, 0.001
79, 180, 0.0045
79, 187, 0.009
79, 192, 0.012
79, 225, 0.0045
79, 289, 0.001
79, 291, 0.009
79, 310, 0.009
79, 311, 0.009
80, 133, 0.0005
80, 201, 0.005
81, 100, 0.003
81, 131, 0.0045
81, 148, 0.0045
81, 153, 0.0065
81, 161, 0.0095
81, 174, 0.0045
81, 175, 0.004
81, 206, 0.0045
81, 208, 0.0025
81, 229, 0.001
81, 247, 0.0015
81, 254, 0.01
81, 257, 0.001
81, 285, 0.004
81, 309, 0.0045
81, 321, 0.0045
82, 84, 0.0005
82, 101, 0.0065
82, 110, 0.0005
82, 115, 0.0015
82, 143, 0.0045
82, 147, 0.0005
82, 155, 0.005
82, 167, 0.0015
82, 174, 0.0045
82, 177, 0.005
82, 180, 0.0065
82, 204, 0.004
82, 208, 0.0045
82, 252, 0.0065
82, 274, 0.0045
82, 328, 0.0045
83, 86, 0.0005
83, 136, 0.009
83, 189, 0.01
83, 230, 0.0045
83, 235, 0.0045
83, 282, 0.0145
83, 299, 0.001
83, 301, 0.013
83, 330, 0.013
83, 337, 0.0125
84, 138, 0.0045
84, 143, 0.005
84, 155, 0.0045
84, 176, 0.005
84, 177, 0.0045
84, 182, 0.0045
84, 185, 0.0045
84, 190, 0.0005
84, 204, 0.0045
84, 210, 0.0045
84, 212, 0.0045
84, 248, 0.0045
84, 268, 0.0005
84, 271, 0.0045
84, 323, 0.0045
84, 338, 0.0035
85, 126, 0.026
85, 161, 0.006
85, 217, 0.0065
85, 230, 0.005
85, 242, 0.0015
86, 173, 0.003
86, 217, 0.0045
86, 267, 0.001
86, 298, 0.018
86, 301, 0.0125
86, 331, 0.013
86, 337, 0.013
87, 125, 0.009
87, 126, 0.003
87, 169, 0.0065
88, 93, 0.0045
89, 94, 0.0005
89, 109, 0.0045
89, 243, 0.0045
89, 258, 0.0045
90, 169, 0.0005
90, 171, 0.005
90, 261, 0.013
90, 263, 0.001
90, 279, 0.0005
90, 293, 0.0045
90, 316, 0.001
91, 169, 0.0105
91, 178, 0.0005
91, 241, 0.0045
91, 277, 0.007
91, 314, 0.0045
91, 316, 0.007
92, 173, 0.0045
92, 220, 0.0045
92, 267, 0.0005
93, 104, 0.0045
93, 167, 0.001
93, 202, 0.0045
93, 210, 0.0045
93, 212, 0.0045
