# u, v, weight
0, 17, 17.5
1, 18, 1.0
2, 19, 4.0
3, 20, 4.5
4, 21, 3.5
5, 22, 3.5
6, 23, 8.5
7, 24, 4.0
8, 25, 7.0
9, 26, 10.5
10, 27, 31.0
11, 28, 3.0
12, 29, 7.5
13, 30, 1.0
13, 45, 0.5
14, 30, 1.0
15, 31, 30.5
16, 32, 15.5
17, 34, 1.0
18, 72, 1.5
18, 88, 1.0
18, 129, 1.0
19, 35, 1.5
19, 88, 1.0
20, 58, 0.5
20, 66, 3.0
21, 36, 1.0
21, 89, 1.5
22, 37, 1.5
22, 90, 0.5
23, 95, 0.5
24, 75, 1.5
24, 82, 0.5
25, 59, 0.5
26, 60, 1.0
27, 68, 0.5
27, 96, 1.0
28, 45, 1.5
28, 79, 1.0
28, 87, 5.0
29, 48, 1.0
29, 61, 1.0
30, 33, 0.5
31, 38, 1.0
31, 49, 1.0
32, 65, 1.0
32, 101, 1.0
33, 45, 1.0
33, 102, 0.5
34, 76, 1.0
35, 39, 0.5
35, 101, 13.0
36, 40, 1.5
37, 63, 1.0
37, 96, 31.0
38, 84, 4.0
38, 156, 1.0
39, 143, 0.5
40, 43, 0.5
40, 81, 1.0
40, 89, 1.0
41, 51, 96.0
41, 69, 3.0
41, 71, 2.0
41, 78, 4.0
41, 85, 3.5
41, 93, 87.0
41, 126, 1.0
41, 131, 1.5
41, 145, 2.0
41, 146, 8.0
41, 151, 87.5
42, 55, 0.5
42, 109, 1.0
42, 150, 0.5
42, 156, 1.0
43, 136, 16.0
43, 143, 1.0
43, 157, 4.0
44, 76, 0.5
44, 130, 2.0
44, 170, 0.5
46, 51, 3.0
46, 67, 12.0
46, 113, 1.0
46, 155, 12.5
47, 54, 2.0
47, 113, 6.0
47, 116, 1.0
47, 128, 0.5
47, 135, 16.5
47, 168, 15.0
48, 87, 2.5
48, 97, 2.0
49, 53, 0.5
49, 109, 1.0
50, 52, 5.5
50, 121, 0.5
50, 130, 2.0
50, 147, 2.5
50, 170, 1.5
50, 174, 4.0
51, 54, 2.0
51, 111, 13.5
51, 151, 13.5
51, 159, 97.0
52, 81, 8.5
52, 83, 3.5
52, 84, 11.0
52, 97, 14.0
52, 126, 9.0
52, 128, 103.5
52, 130, 8.5
52, 136, 10.0
52, 140, 9.0
52, 145, 10.0
52, 146, 6.0
52, 152, 10.0
52, 160, 111.0
52, 169, 109.5
52, 172, 9.0
53, 156, 0.5
54, 158, 9.5
55, 92, 0.5
55, 164, 0.5
55, 175, 0.5
56, 87, 2.0
56, 102, 5.0
56, 106, 12.0
56, 133, 0.5
57, 81, 3.0
57, 149, 1.0
57, 157, 0.5
57, 170, 2.5
58, 62, 3.5
58, 77, 110.0
58, 82, 2.5
58, 103, 5.0
58, 110, 27.0
59, 67, 2.0
59, 113, 11.0
59, 135, 0.5
60, 64, 1.5
60, 124, 1.0
61, 79, 8.5
61, 97, 2.0
61, 140, 23.0
62, 91, 21.5
62, 139, 0.5
62, 176, 0.5
63, 90, 2.0
63, 93, 25.5
63, 107, 42.5
63, 111, 24.0
63, 114, 32.0
63, 144, 0.5
63, 168, 31.5
63, 179, 25.0
64, 70, 0.5
64, 125, 6.5
65, 80, 1.5
65, 105, 1.0
66, 103, 2.5
66, 167, 6.5
66, 176, 0.5
67, 95, 0.5
68, 90, 33.5
68, 114, 0.5
68, 168, 2.0
69, 98, 1.5
69, 113, 99.0
69, 155, 83.5
69, 159, 2.0
70, 139, 0.5
70, 165, 6.5
71, 84, 2.0
71, 86, 0.5
71, 99, 22.5
71, 154, 1.5
71, 172, 1.0
72, 89, 1.5
72, 143, 1.0
73, 85, 2.0
73, 100, 10.5
73, 119, 0.5
73, 151, 90.0
73, 177, 7.0
74, 91, 21.5
74, 139, 0.5
74, 176, 0.5
75, 123, 0.5
76, 100, 5.0
76, 121, 2.0
76, 122, 5.5
77, 84, 0.5
77, 94, 85.5
77, 118, 101.5
77, 141, 2.0
77, 148, 85.0
77, 163, 85.5
77, 176, 107.0
77, 181, 85.0
78, 80, 3.5
78, 105, 4.0
78, 122, 3.5
78, 126, 4.0
78, 131, 4.5
78, 138, 89.0
78, 145, 5.0
78, 153, 89.0
78, 154, 3.5
78, 159, 4.0
79, 102, 1.0
79, 112, 28.5
79, 126, 30.5
79, 180, 30.0
80, 85, 3.0
80, 98, 2.0
81, 100, 1.5
81, 162, 3.5
82, 123, 1.5
83, 106, 1.0
83, 121, 4.5
83, 136, 9.5
83, 149, 2.0
84, 131, 5.5
84, 154, 1.5
84, 177, 3.5
85, 122, 4.0
85, 162, 6.5
86, 132, 0.5
86, 134, 0.5
86, 136, 0.5
86, 169, 105.0
86, 171, 0.5
87, 112, 24.5
87, 126, 26.5
87, 180, 26.0
88, 143, 1.5
90, 108, 1.0
91, 94, 0.5
91, 117, 12.0
91, 167, 16.0
91, 178, 14.5
91, 181, 1.0
92, 109, 1.0
92, 171, 1.0
93, 127, 1.0
93, 137, 2.0
93, 153, 1.0
94, 125, 18.0
94, 127, 1.0
94, 142, 1.0
94, 163, 1.0
95, 108, 2.0
96, 107, 12.5
96, 117, 16.0
96, 168, 1.5
96, 178, 12.5
97, 115, 0.5
97, 126, 24.0
97, 138, 110.0
97, 169, 125.5
97, 172, 24.0
98, 157, 13.5
99, 115, 1.0
99, 133, 0.5
100, 143, 1.0
100, 157, 4.0
101, 105, 1.0
103, 118, 7.5
103, 123, 2.0
103, 124, 0.5
104, 114, 9.0
104, 117, 19.0
104, 137, 16.5
104, 160, 1.5
104, 168, 7.5
105, 119, 1.0
105, 137, 92.0
106, 146, 6.5
106, 152, 11.5
107, 110, 18.5
107, 117, 26.5
107, 165, 0.5
107, 168, 13.0
107, 169, 0.5
108, 111, 25.0
108, 144, 1.5
108, 168, 32.5
110, 111, 2.0
110, 116, 11.5
110, 123, 27.0
110, 138, 1.5
110, 158, 2.0
110, 160, 18.5
110, 163, 2.5
110, 169, 17.0
110, 179, 1.0
111, 113, 14.5
111, 137, 2.5
111, 153, 2.5
111, 155, 2.0
112, 115, 23.5
112, 126, 1.0
112, 131, 0.5
112, 154, 1.5
112, 166, 0.5
112, 180, 0.5
113, 116, 6.0
113, 151, 14.5
114, 117, 16.0
115, 137, 109.5
115, 146, 15.5
116, 117, 0.5
116, 135, 16.5
116, 137, 9.0
116, 142, 13.0
116, 181, 12.5
117, 128, 1.0
117, 168, 15.5
118, 139, 6.5
118, 142, 17.0
118, 165, 0.5
118, 167, 1.5
119, 154, 6.5
120, 148, 0.5
120, 161, 2.0
120, 179, 0.5
121, 174, 5.5
122, 174, 1.0
123, 158, 27.0
124, 139, 1.5
124, 165, 7.5
125, 165, 0.5
126, 127, 87.0
126, 153, 88.0
126, 154, 1.5
126, 164, 2.0
126, 171, 2.0
127, 148, 0.5
128, 137, 9.5
128, 140, 97.5
128, 142, 12.5
