# u, v, weight
0, 28, 1.0
0, 41, 5.0
0, 42, 1.0
1, 24, 1.0
1, 25, 3.0
2, 32, 4.0
2, 35, 2.0
2, 44, 1.0
2, 56, 1.0
3, 10, 1.0
3, 16, 10.0
3, 21, 1.0
4, 26, 1.0
4, 27, 1.0
5, 36, 4.0
5, 38, 5.0
5, 50, 1.0
5, 53, 3.0
6, 24, 3.0
6, 25, 1.0
6, 35, 1.0
6, 44, 2.0
7, 34, 4.0
7, 39, 6.0
7, 41, 1.0
7, 50, 2.0
8, 26, 1.0
8, 27, 1.0
8, 29, 3.0
8, 52, 4.0
9, 33, 6.0
9, 39, 6.0
9, 45, 2.0
9, 52, 3.0
11, 30, 1.0
11, 42, 7.0
11, 48, 2.0
12, 26, 1.0
12, 54, 3.0
13, 28, 2.0
13, 30, 4.0
13, 55, 1.0
14, 22, 9.0
14, 47, 1.0
15, 23, 1.0
15, 34, 3.0
15, 37, 2.0
15, 38, 3.0
16, 48, 1.0
17, 30, 1.0
17, 49, 2.0
17, 54, 6.0
18, 20, 3.0
19, 22, 1.0
19, 31, 2.0
19, 35, 2.0
19, 37, 8.0
20, 24, 6.0
20, 46, 1.0
21, 23, 6.0
21, 40, 1.0
21, 48, 10.0
22, 25, 3.0
23, 47, 2.0
27, 46, 10.0
28, 39, 1.0
29, 45, 2.0
29, 49, 6.0
29, 54, 2.0
31, 53, 3.0
31, 56, 1.0
32, 33, 1.0
32, 43, 2.0
33, 36, 1.0
33, 50, 4.0
34, 53, 2.0
36, 56, 3.0
37, 47, 1.0
38, 51, 1.0
39, 55, 2.0
40, 42, 4.0
40, 51, 2.0
41, 51, 2.0
43, 44, 5.0
43, 46, 1.0
43, 52, 6.0
45, 55, 6.0
49, 55, 2.0
